entity,type,frequency
Sotorriva,LOC,13
Llegaron,LOC,13
Africa,ORG,13
Ferraz,LOC,13
Volvieron,LOC,13
-Permitidme,LOC,13
Natal,LOC,13
Policía,ORG,13
Elena,LOC,13
golfo,LOC,13
Byzancio,LOC,13
Justamente,LOC,13
Maria,LOC,13
P.,LOC,13
Marcial-,ORG,13
Guanaja,LOC,13
Salvador,LOC,13
Revolución,ORG,13
Mahomet,ORG,13
las,ORG,13
Progreso,LOC,13
-Ahí,LOC,13
Todos,LOC,13
Pablo,LOC,13
Ana,LOC,13
Cayetano,LOC,13
Tafalera,LOC,13
Nela-,LOC,13
Unión,LOC,13
Perú,LOC,13
Mondoñedo,LOC,13
Conoció,LOC,13
coro,LOC,13
Esperanza,LOC,13
Carrera,LOC,13
Lodosa,LOC,13
-Decid,LOC,13
Gobernación,LOC,13
Cuaresma,LOC,13
Oro,LOC,13
Reales,LOC,13
Pedernero,LOC,13
Católico,ORG,13
Castillo,LOC,13
catedral,LOC,13
Cualquiera,LOC,13
Ése,LOC,13
Unzu,LOC,13
Pontejos,LOC,13
Adiós,LOC,12
Elvira-,ORG,12
Saboya,LOC,12
Cinca,LOC,12
Avanzó,LOC,12
Tomad,LOC,12
Merced,LOC,12
Amberes,LOC,12
Victoria,LOC,12
Palomina,LOC,12
Sajonia,LOC,12
Música,LOC,12
Carihuelas,LOC,12
Algunos,LOC,12
Zúñiga,LOC,12
Oíanse,LOC,12
Lola,LOC,12
Creyó,LOC,12
Seria,LOC,12
já,ORG,12
Andresillo,LOC,12
Medio-hombre,LOC,12
Moravo,LOC,12
Villabermeja,LOC,12
rumy,LOC,12
Filomenas,LOC,12
Oviedo,LOC,12
Ancu-Myera,LOC,12
Rosita,LOC,12
Ancha,LOC,12
Nera,LOC,12
Quiyeré,LOC,12
Venían,LOC,12
Sospecho,LOC,12
Caminos,LOC,12
Albuérniga,LOC,12
Otway,LOC,12
Crespo,LOC,12
Visitación,LOC,12
Café,LOC,12
Carretas,LOC,12
Cerca,LOC,12
Palermo,LOC,12
sierra,LOC,12
Córte,LOC,12
Canarias,LOC,12
Salvajes,ORG,12
Marsella,LOC,12
Orán,LOC,12
Langosta,LOC,12
Barcino,LOC,12
al,LOC,12
Halló,LOC,12
colegio,LOC,12
Fonda,LOC,12
Molina,LOC,12
Chile,LOC,12
Moscosos,LOC,12
Carrascal,LOC,12
Caleta,LOC,12
Casilla,LOC,12
Tapón,ORG,12
Estudiante,ORG,12
Consistía,LOC,12
amazonas,LOC,12
Conozco,LOC,12
Barquillo,LOC,12
Bolsa,LOC,12
Lavapiés,LOC,12
guia,LOC,12
Andrinópolis,LOC,12
Gorión,LOC,12
Recordó,LOC,12
Bosque,LOC,12
Entiendo,LOC,12
Vegas,LOC,12
Juncal,LOC,12
Piniana,LOC,12
Gracias,LOC,12
Españas,LOC,12
Vilain,LOC,12
Jerónima,LOC,12
Tuve,ORG,12
Sintió,ORG,12
Tudela,LOC,12
Támesis,LOC,12
Escuela,LOC,12
Acabo,LOC,12
Ustedes,ORG,12
Sena,LOC,12
Habia,LOC,12
Yá,LOC,12
real,LOC,11
Almenara,LOC,11
Tesoro,LOC,11
Serrano,LOC,11
Currito,LOC,11
Comité,ORG,11
Pavos,LOC,11
Alcázares,LOC,11
Sitio,ORG,11
Agustín,LOC,11
Mundo,LOC,11
Voz,ORG,11
Morena,LOC,11
Corfú,LOC,11
Colón,LOC,11
Basílica,LOC,11
-VIII-,LOC,11
Bastante,LOC,11
Conmigo,ORG,11
Tarumbo,ORG,11
Torcaz,LOC,11
Palideció,LOC,11
Prior,LOC,11
Bajó,LOC,11
playa,LOC,11
Natural,ORG,11
-¡Don,LOC,11
Diego,LOC,11
Oliva,LOC,11
montes,LOC,11
Liceo,ORG,11
ciudad,LOC,11
Sanlúcar,LOC,11
Nordeste,LOC,11
Lonja,LOC,11
Le,LOC,11
india,LOC,11
honduras,LOC,11
Largas,LOC,11
Público,ORG,11
Almunia,LOC,11
Valle,LOC,11
ventanillo,LOC,11
Directora,LOC,11
Torrejón,LOC,11
Cuando,LOC,11
Meca,LOC,11
Saben,LOC,11
Kenilworth,LOC,11
Tónica,LOC,11
indiana,LOC,11
Pontífice,LOC,11
Rivas,LOC,11
Trascava,LOC,11
Belén,LOC,11
Symphosio,LOC,11
Capuzo,LOC,11
Ganges,LOC,11
Pontonucos,LOC,11
",",LOC,11
Valdivieso,LOC,11
Piedra,LOC,11
Catecismo,ORG,11
Permaneció,LOC,11
Jimena,LOC,11
Medinaceli,LOC,11
Preciados,LOC,11
gentuza,ORG,11
Marcos,LOC,11
Gil,LOC,11
